experimentType,size,finalStates,instance,bfsResult,bfsTime,randomTime,fallback,finalStatesRandomized
RandomGraph,10,0,0,false,20542,1768667,true,false
RandomGraph,10,1,0,true,6708,49000,false,false
RandomGraph,10,2,0,true,5083,2291,false,false
RandomGraph,10,3,0,true,5750,1791,false,false
RandomGraph,10,4,0,true,3417,1834,false,false
RandomGraph,10,5,0,true,3500,1459,false,false
RandomGraph,10,6,0,true,3291,1667,false,false
RandomGraph,10,7,0,true,2500,1584,false,false
RandomGraph,10,8,0,true,1917,1500,false,false
RandomGraph,10,9,0,true,2083,1583,false,false
RandomGraph,10,0,1,false,4500,412667,true,false
RandomGraph,10,1,1,true,3542,6125,false,false
RandomGraph,10,2,1,true,5042,2833,false,false
RandomGraph,10,3,1,true,2666,1750,false,false
RandomGraph,10,4,1,true,2291,1416,false,false
RandomGraph,10,5,1,true,1708,1167,false,false
RandomGraph,10,6,1,true,8958,4416,false,false
RandomGraph,10,7,1,true,1500,4208,false,false
RandomGraph,10,8,1,true,1083,833,false,false
RandomGraph,10,9,1,true,1125,1042,false,false
RandomGraph,10,0,2,false,2750,179208,true,false
RandomGraph,10,1,2,true,2250,3083,false,false
RandomGraph,10,2,2,true,2083,1000,false,false
RandomGraph,10,3,2,true,1916,1125,false,false
RandomGraph,10,4,2,true,1500,1667,false,false
RandomGraph,10,5,2,true,1625,875,false,false
RandomGraph,10,6,2,true,1500,792,false,false
RandomGraph,10,7,2,true,1708,792,false,false
RandomGraph,10,8,2,true,1292,792,false,false
RandomGraph,10,9,2,true,1000,875,false,false
RandomGraph,10,0,3,false,3458,181375,true,false
RandomGraph,10,1,3,true,3167,2208,false,false
RandomGraph,10,2,3,true,2375,1042,false,false
RandomGraph,10,3,3,true,1917,1083,false,false
RandomGraph,10,4,3,true,1791,11417,false,false
RandomGraph,10,5,3,true,1708,750,false,false
RandomGraph,10,6,3,true,1791,1000,false,false
RandomGraph,10,7,3,true,1417,1000,false,false
RandomGraph,10,8,3,true,2958,2375,false,false
RandomGraph,10,9,3,true,1792,1292,false,false
RandomGraph,10,0,4,false,4750,210958,true,false
RandomGraph,10,1,4,true,4125,3584,false,false
RandomGraph,10,2,4,true,3958,2750,false,false
RandomGraph,10,3,4,true,4125,2375,false,false
RandomGraph,10,4,4,true,3000,2292,false,false
RandomGraph,10,5,4,true,3083,2125,false,false
RandomGraph,10,6,4,true,3625,2584,false,false
RandomGraph,10,7,4,true,1834,1708,false,false
RandomGraph,10,8,4,true,1417,1541,false,false
RandomGraph,10,9,4,true,1375,1500,false,false
RandomGraph,10,0,5,false,2959,177667,true,false
RandomGraph,10,1,5,true,2792,1833,false,false
RandomGraph,10,2,5,true,2417,1792,false,false
RandomGraph,10,3,5,true,1625,792,false,false
RandomGraph,10,4,5,true,1625,833,false,false
RandomGraph,10,5,5,true,1708,834,false,false
RandomGraph,10,6,5,true,1625,19000,false,false
RandomGraph,10,7,5,true,6375,875,false,false
RandomGraph,10,8,5,true,8333,792,false,false
RandomGraph,10,9,5,true,1208,792,false,false
RandomGraph,10,0,6,false,2834,165209,true,false
RandomGraph,10,1,6,true,1625,1208,false,false
RandomGraph,10,2,6,true,1667,1208,false,false
RandomGraph,10,3,6,true,1750,1583,false,false
RandomGraph,10,4,6,true,18041,13084,false,false
RandomGraph,10,5,6,true,1417,833,false,false
RandomGraph,10,6,6,true,14834,1125,false,false
RandomGraph,10,7,6,true,1416,791,false,false
RandomGraph,10,8,6,true,875,666,false,false
RandomGraph,10,9,6,true,958,833,false,false
RandomGraph,10,0,7,false,1917,131209,true,false
RandomGraph,10,1,7,true,1666,4083,false,false
RandomGraph,10,2,7,true,1333,1167,false,false
RandomGraph,10,3,7,true,1417,1083,false,false
RandomGraph,10,4,7,true,1458,1125,false,false
